Month,mosquito_repellent:_(United_Kingdom),electric_fan:_(United_Kingdom)
2004-01,0,15
2004-02,0,15
2004-03,0,22
2004-04,0,0
2004-05,13,20
2004-06,0,16
2004-07,16,19
2004-08,0,24
2004-09,11,14
2004-10,0,0
2004-11,0,19
2004-12,0,18
2005-01,8,13
2005-02,0,12
2005-03,0,13
2005-04,0,13
2005-05,9,15
2005-06,9,18
2005-07,19,14
2005-08,11,15
2005-09,8,13
2005-10,7,12
2005-11,0,20
2005-12,0,15
2006-01,5,11
2006-02,6,10
2006-03,4,15
2006-04,0,16
2006-05,9,10
2006-06,12,18
2006-07,17,32
2006-08,8,12
2006-09,9,16
2006-10,0,10
2006-11,4,12
2006-12,6,16
2007-01,7,10
2007-02,7,10
2007-03,4,10
2007-04,7,13
2007-05,8,11
2007-06,10,13
2007-07,12,9
2007-08,16,11
2007-09,6,13
2007-10,5,12
2007-11,4,14
2007-12,0,15
2008-01,6,11
2008-02,6,11
2008-03,5,11
2008-04,6,10
2008-05,11,12
2008-06,12,12
2008-07,12,13
2008-08,10,12
2008-09,7,10
2008-10,6,14
2008-11,4,12
2008-12,4,17
2009-01,5,14
2009-02,3,14
2009-03,7,10
2009-04,8,9
2009-05,14,9
2009-06,18,14
2009-07,21,14
2009-08,19,11
2009-09,10,13
2009-10,9,15
2009-11,6,11
2009-12,6,14
2010-01,8,16
2010-02,12,13
2010-03,9,12
2010-04,11,9
2010-05,15,13
2010-06,26,11
2010-07,26,14
2010-08,15,11
2010-09,11,13
2010-10,7,14
2010-11,6,17
2010-12,4,19
2011-01,8,16
2011-02,9,15
2011-03,10,12
2011-04,11,13
2011-05,15,13
2011-06,21,16
2011-07,24,14
2011-08,21,14
2011-09,13,16
2011-10,10,18
2011-11,8,20
2011-12,7,20
2012-01,9,15
2012-02,8,20
2012-03,12,13
2012-04,13,13
2012-05,19,18
2012-06,26,13
2012-07,32,16
2012-08,36,18
2012-09,17,18
2012-10,12,23
2012-11,9,24
2012-12,7,25
2013-01,13,23
2013-02,15,19
2013-03,13,22
2013-04,15,18
2013-05,23,16
2013-06,27,16
2013-07,43,56
2013-08,28,22
2013-09,14,24
2013-10,11,25
2013-11,9,32
2013-12,7,25
2014-01,13,25
2014-02,12,24
2014-03,14,20
2014-04,19,19
2014-05,25,22
2014-06,36,23
2014-07,41,35
2014-08,26,23
2014-09,18,20
2014-10,16,27
2014-11,11,29
2014-12,9,31
2015-01,14,27
2015-02,13,27
2015-03,15,20
2015-04,21,21
2015-05,24,19
2015-06,31,23
2015-07,38,30
2015-08,26,22
2015-09,16,23
2015-10,14,26
2015-11,10,28
2015-12,9,24
2016-01,23,30
2016-02,30,27
2016-03,24,23
2016-04,22,20
2016-05,36,23
2016-06,42,24
2016-07,53,43
2016-08,50,27
2016-09,28,25
2016-10,19,31
2016-11,14,39
2016-12,12,32
2017-01,23,32
2017-02,20,26
2017-03,22,21
2017-04,24,24
2017-05,34,29
2017-06,44,70
2017-07,46,27
2017-08,37,26
2017-09,23,26
2017-10,18,27
2017-11,14,37
2017-12,11,37
2018-01,21,30
2018-02,16,33
2018-03,17,36
2018-04,26,26
2018-05,40,26
2018-06,54,40
2018-07,61,100
2018-08,37,45
2018-09,23,28
2018-10,17,37
2018-11,12,38
2018-12,12,34
2019-01,19,33
2019-02,19,27
2019-03,18,26
2019-04,25,28
2019-05,32,26
2019-06,53,33
2019-07,60,55
2019-08,48,31
2019-09,26,26
2019-10,18,33
2019-11,13,38
2019-12,12,34
2020-01,20,28
2020-02,17,29
2020-03,9,24
2020-04,12,28
2020-05,14,41
2020-06,18,45
2020-07,20,29
2020-08,25,54
2020-09,14,30
2020-10,6,37
2020-11,5,35
2020-12,5,40
2021-01,5,41
2021-02,5,41
2021-03,6,31
2021-04,8,30
2021-05,8,28
2021-06,23,39
2021-07,33,73
2021-08,20,29
2021-09,12,31
2021-10,8,35
2021-11,7,42
2021-12,4,37
2022-01,9,38
2022-02,12,32
2022-03,15,28
2022-04,21,29
2022-05,36,29
2022-06,49,38
2022-07,62,86
2022-08,48,59
2022-09,26,42
2022-10,17,42
2022-11,12,49
2022-12,11,69
2023-01,18,42
2023-02,17,32
2023-03,19,34
2023-04,24,31
2023-05,42,30
2023-06,81,69
2023-07,69,32
2023-08,57,30
2023-09,46,43
2023-10,26,41
2023-11,15,46
2023-12,13,44
2024-01,22,37
2024-02,22,27
2024-03,24,26
2024-04,33,26
2024-05,51,32
2024-06,65,35
2024-07,64,34
2024-08,59,35
2024-09,35,33
2024-10,25,35
2024-11,16,45
2024-12,16,37
2025-01,23,41
2025-02,23,36
2025-03,24,27
2025-04,35,29
2025-05,48,33
2025-06,65,64
2025-07,67,63
2025-08,55,42
2025-09,30,36
2025-10,23,39
2025-11,20,53
2025-12,16,41
