Week,mosquito_repellent:_(United_Kingdom),electric_fan:_(United_Kingdom)
13-12-2020,2,14
20-12-2020,3,24
27-12-2020,3,24
03-01-2021,3,24
10-01-2021,3,21
17-01-2021,2,21
24-01-2021,4,22
31-01-2021,0,22
07-02-2021,2,29
14-02-2021,3,24
21-02-2021,3,17
28-02-2021,2,16
07-03-2021,3,18
14-03-2021,3,14
21-03-2021,3,17
28-03-2021,7,16
04-04-2021,3,17
11-04-2021,4,16
18-04-2021,4,16
25-04-2021,4,17
02-05-2021,3,17
09-05-2021,6,13
16-05-2021,2,14
23-05-2021,4,13
30-05-2021,10,21
06-06-2021,17,26
13-06-2021,18,28
20-06-2021,8,15
27-06-2021,12,15
04-07-2021,11,16
11-07-2021,15,29
18-07-2021,33,100
25-07-2021,15,18
01-08-2021,11,15
08-08-2021,10,14
15-08-2021,12,15
22-08-2021,13,17
29-08-2021,8,16
05-09-2021,9,16
12-09-2021,4,16
19-09-2021,5,17
26-09-2021,4,22
03-10-2021,4,19
10-10-2021,4,17
17-10-2021,5,19
24-10-2021,4,18
31-10-2021,3,22
07-11-2021,4,21
14-11-2021,4,18
21-11-2021,3,27
28-11-2021,4,26
05-12-2021,2,21
12-12-2021,2,16
19-12-2021,0,24
26-12-2021,3,19
02-01-2022,3,22
09-01-2022,3,24
16-01-2022,5,19
23-01-2022,6,17
30-01-2022,6,17
06-02-2022,6,20
13-02-2022,6,16
20-02-2022,7,20
27-02-2022,7,16
06-03-2022,7,16
13-03-2022,9,13
20-03-2022,11,15
27-03-2022,9,18
03-04-2022,10,16
10-04-2022,11,17
17-04-2022,13,16
24-04-2022,14,15
01-05-2022,17,16
08-05-2022,19,16
15-05-2022,21,19
22-05-2022,23,13
29-05-2022,19,13
05-06-2022,20,16
12-06-2022,32,31
19-06-2022,30,22
26-06-2022,27,19
03-07-2022,28,22
10-07-2022,40,80
17-07-2022,36,80
24-07-2022,31,19
31-07-2022,32,22
07-08-2022,32,51
14-08-2022,24,33
21-08-2022,22,23
28-08-2022,21,21
04-09-2022,16,19
11-09-2022,15,21
18-09-2022,13,21
25-09-2022,10,33
02-10-2022,10,26
09-10-2022,11,23
16-10-2022,9,21
23-10-2022,8,19
30-10-2022,8,26
06-11-2022,6,23
13-11-2022,7,25
20-11-2022,5,29
27-11-2022,7,28
04-12-2022,5,41
11-12-2022,5,53
18-12-2022,4,27
25-12-2022,8,24
01-01-2023,8,20
08-01-2023,10,20
15-01-2023,10,26
22-01-2023,9,25
29-01-2023,9,21
05-02-2023,10,17
12-02-2023,9,19
19-02-2023,9,15
26-02-2023,10,19
05-03-2023,10,23
12-03-2023,11,19
19-03-2023,11,16
26-03-2023,11,19
02-04-2023,9,16
09-04-2023,13,18
16-04-2023,15,16
23-04-2023,17,17
30-04-2023,19,15
07-05-2023,18,16
14-05-2023,22,15
21-05-2023,29,18
28-05-2023,29,19
04-06-2023,34,21
11-06-2023,52,68
18-06-2023,49,35
25-06-2023,44,22
02-07-2023,40,20
09-07-2023,44,19
16-07-2023,32,15
23-07-2023,26,16
30-07-2023,31,17
06-08-2023,29,15
13-08-2023,32,16
20-08-2023,35,15
27-08-2023,23,15
03-09-2023,36,34
10-09-2023,27,20
17-09-2023,20,21
24-09-2023,16,17
01-10-2023,19,20
08-10-2023,17,20
15-10-2023,13,27
22-10-2023,11,23
29-10-2023,9,22
05-11-2023,11,23
12-11-2023,8,24
19-11-2023,8,23
26-11-2023,5,36
03-12-2023,8,30
10-12-2023,8,21
17-12-2023,7,19
24-12-2023,8,22
31-12-2023,11,19
07-01-2024,15,23
14-01-2024,12,26
21-01-2024,12,17
28-01-2024,11,14
04-02-2024,12,16
11-02-2024,11,15
18-02-2024,12,15
25-02-2024,12,12
03-03-2024,13,16
10-03-2024,11,14
17-03-2024,13,15
24-03-2024,16,15
31-03-2024,16,16
07-04-2024,19,16
14-04-2024,17,14
21-04-2024,19,15
28-04-2024,19,13
05-05-2024,28,20
12-05-2024,31,21
19-05-2024,30,15
26-05-2024,30,14
02-06-2024,34,13
09-06-2024,31,15
16-06-2024,33,14
23-06-2024,41,36
30-06-2024,28,12
07-07-2024,30,15
14-07-2024,35,20
21-07-2024,40,18
28-07-2024,38,29
04-08-2024,31,17
11-08-2024,36,20
18-08-2024,26,17
25-08-2024,28,17
01-09-2024,25,14
08-09-2024,20,21
15-09-2024,17,16
22-09-2024,16,18
29-09-2024,16,22
06-10-2024,14,20
13-10-2024,12,20
20-10-2024,13,18
27-10-2024,11,16
03-11-2024,9,22
10-11-2024,10,23
17-11-2024,8,33
24-11-2024,8,23
01-12-2024,8,19
08-12-2024,10,21
15-12-2024,8,18
22-12-2024,7,25
29-12-2024,11,21
05-01-2025,12,25
12-01-2025,12,24
19-01-2025,14,22
26-01-2025,12,19
02-02-2025,14,20
09-02-2025,13,20
16-02-2025,12,18
23-02-2025,12,18
02-03-2025,12,14
09-03-2025,14,16
16-03-2025,15,17
23-03-2025,14,14
30-03-2025,16,13
06-04-2025,20,18
13-04-2025,18,15
20-04-2025,18,15
27-04-2025,26,24
04-05-2025,22,16
11-05-2025,27,21
18-05-2025,27,17
25-05-2025,29,16
01-06-2025,29,15
08-06-2025,28,19
15-06-2025,40,54
22-06-2025,37,34
29-06-2025,44,53
06-07-2025,41,46
13-07-2025,34,34
20-07-2025,34,26
27-07-2025,32,22
03-08-2025,29,22
10-08-2025,39,32
17-08-2025,27,19
24-08-2025,26,19
31-08-2025,19,15
07-09-2025,18,19
14-09-2025,16,21
21-09-2025,13,23
28-09-2025,15,19
05-10-2025,13,21
12-10-2025,12,20
19-10-2025,12,22
26-10-2025,10,24
02-11-2025,14,23
09-11-2025,12,24
16-11-2025,12,40
23-11-2025,7,34
30-11-2025,9,26
07-12-2025,9,21
14-12-2025,8,20
