Month,Umbrella:_(United_Kingdom),Beach_holidays:_(United_Kingdom)
2004-01,6,10
2004-02,6,7
2004-03,6,8
2004-04,7,9
2004-05,6,10
2004-06,7,11
2004-07,7,14
2004-08,8,14
2004-09,7,8
2004-10,8,6
2004-11,8,4
2004-12,7,5
2005-01,5,12
2005-02,6,9
2005-03,6,9
2005-04,6,10
2005-05,6,11
2005-06,6,13
2005-07,6,13
2005-08,6,12
2005-09,7,9
2005-10,7,6
2005-11,7,4
2005-12,7,5
2006-01,6,11
2006-02,5,9
2006-03,6,10
2006-04,5,11
2006-05,7,11
2006-06,6,13
2006-07,7,17
2006-08,8,15
2006-09,8,11
2006-10,9,8
2006-11,9,6
2006-12,8,6
2007-01,7,16
2007-02,6,13
2007-03,8,12
2007-04,14,15
2007-05,43,15
2007-06,40,18
2007-07,38,21
2007-08,23,22
2007-09,18,15
2007-10,17,10
2007-11,18,7
2007-12,20,7
2008-01,16,18
2008-02,12,15
2008-03,13,16
2008-04,11,16
2008-05,11,17
2008-06,11,20
2008-07,12,21
2008-08,11,22
2008-09,12,13
2008-10,11,8
2008-11,11,6
2008-12,11,6
2009-01,8,16
2009-02,8,13
2009-03,9,14
2009-04,9,16
2009-05,9,16
2009-06,10,20
2009-07,11,24
2009-08,10,21
2009-09,10,14
2009-10,10,11
2009-11,12,9
2009-12,11,8
2010-01,8,23
2010-02,9,19
2010-03,9,19
2010-04,9,18
2010-05,10,18
2010-06,10,23
2010-07,10,24
2010-08,10,17
2010-09,10,11
2010-10,10,8
2010-11,11,6
2010-12,9,5
2011-01,10,22
2011-02,11,15
2011-03,9,14
2011-04,9,15
2011-05,9,18
2011-06,11,20
2011-07,11,24
2011-08,11,19
2011-09,12,12
2011-10,10,8
2011-11,11,6
2011-12,11,6
2012-01,10,19
2012-02,8,14
2012-03,8,14
2012-04,13,16
2012-05,12,19
2012-06,15,21
2012-07,15,26
2012-08,13,22
2012-09,14,16
2012-10,14,9
2012-11,13,6
2012-12,14,7
2013-01,10,19
2013-02,10,15
2013-03,11,16
2013-04,11,19
2013-05,11,20
2013-06,12,23
2013-07,14,24
2013-08,12,21
2013-09,14,15
2013-10,15,10
2013-11,14,7
2013-12,12,8
2014-01,13,27
2014-02,14,19
2014-03,15,21
2014-04,13,21
2014-05,14,24
2014-06,14,26
2014-07,18,26
2014-08,17,23
2014-09,13,17
2014-10,18,12
2014-11,17,7
2014-12,13,9
2015-01,12,31
2015-02,11,21
2015-03,12,20
2015-04,12,22
2015-05,13,25
2015-06,14,28
2015-07,16,28
2015-08,16,25
2015-09,15,16
2015-10,15,12
2015-11,17,8
2015-12,15,10
2016-01,13,30
2016-02,12,21
2016-03,12,17
2016-04,13,21
2016-05,14,23
2016-06,17,22
2016-07,15,25
2016-08,13,22
2016-09,14,15
2016-10,11,11
2016-11,14,7
2016-12,12,7
2017-01,11,25
2017-02,13,17
2017-03,14,18
2017-04,13,19
2017-05,15,21
2017-06,19,23
2017-07,17,25
2017-08,16,21
2017-09,18,15
2017-10,15,11
2017-11,14,7
2017-12,12,8
2018-01,13,26
2018-02,12,19
2018-03,16,19
2018-04,16,22
2018-05,18,22
2018-06,16,21
2018-07,19,22
2018-08,17,19
2018-09,15,14
2018-10,14,10
2018-11,16,6
2018-12,16,8
2019-01,12,23
2019-02,72,16
2019-03,51,16
2019-04,26,17
2019-05,22,21
2019-06,25,23
2019-07,22,22
2019-08,22,19
2019-09,21,22
2019-10,23,12
2019-11,22,8
2019-12,21,10
2020-01,19,26
2020-02,21,16
2020-03,18,5
2020-04,21,4
2020-05,25,5
2020-06,30,8
2020-07,37,13
2020-08,100,11
2020-09,36,7
2020-10,29,4
2020-11,24,4
2020-12,23,4
2021-01,21,5
2021-02,21,5
2021-03,23,6
2021-04,23,5
2021-05,27,6
2021-06,27,8
2021-07,29,9
2021-08,22,10
2021-09,20,9
2021-10,21,7
2021-11,17,5
2021-12,17,4
2022-01,18,15
2022-02,19,15
2022-03,20,14
2022-04,20,18
2022-05,25,20
2022-06,72,20
2022-07,61,19
2022-08,33,19
2022-09,25,12
2022-10,21,10
2022-11,26,7
2022-12,17,9
2023-01,18,24
2023-02,16,17
2023-03,19,16
2023-04,20,19
2023-05,22,20
2023-06,29,20
2023-07,25,20
2023-08,21,17
2023-09,22,13
2023-10,20,9
2023-11,22,6
2023-12,18,7
2024-01,14,19
2024-02,20,13
2024-03,19,14
2024-04,18,15
2024-05,24,15
2024-06,23,15
2024-07,27,15
2024-08,58,13
2024-09,29,10
2024-10,20,7
2024-11,16,5
2024-12,15,6
2025-01,14,15
2025-02,15,11
2025-03,16,12
2025-04,18,12
2025-05,20,13
2025-06,23,12
2025-07,24,13
2025-08,19,12
2025-09,23,7
2025-10,18,6
2025-11,21,5
2025-12,21,4
